keyword,tier,tier_matching_rule,subcategory,job_posting_skill_name
ipsoft amelia,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Amelia (IPSoft)
amelia by ipsoft,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Amelia (IPSoft)
vertex ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Vertex AI
nuance mix,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Nuance Mix
RNN,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Recurrent Neural Network (RNN)
RNNs,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Recurrent Neural Network (RNN)
recurrent neural network,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Recurrent Neural Network (RNN)
automl,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Automated Machine Learning
automated machine learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Automated Machine Learning
UIMA,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Unstructured Information Management Architecture (UIMA)
unstructured information management,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Unstructured Information Management Architecture (UIMA)
operationalizing ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Operationalizing AI
scene understanding,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Scene Understanding
naive bayes classifier,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Naive Bayes Classifier
naive bayes,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Naive Bayes Classifier
bayes classifier,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Naive Bayes Classifier
nb classifier,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Naive Bayes Classifier
nb classifiers,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Naive Bayes Classifier
ml.net,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,ML.NET
topic model,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Topic Modeling
topic models,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Topic Modeling
topic modeling,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Topic Modeling
text classification,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Text Classification
NLTK,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,NLTK (NLP Analysis)
nltk,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,NLTK (NLP Analysis)
neural ordinary differential equation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Neural Ordinary Differential Equations
gradient boosting,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Gradient Boosting Machines (GBM)
gradient boosting machine,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Gradient Boosting Machines (GBM)
adaboost,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,AdaBoost (Adaptive Boosting)
adaptive boosting,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,AdaBoost (Adaptive Boosting)
skimage,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,Skimage
pinecone,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,PineCone
sentence transformer,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Sentence Transformers
ensemble method,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Ensemble Methods
scikit learn,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Scikit-Learn (Python Package)
scikit-learn,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Scikit-Learn (Python Package)
ai development,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Artificial Intelligence Development
artificial intelligence development,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Artificial Intelligence Development
ai software development,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Artificial Intelligence Development
ai product development,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Artificial Intelligence Development
prompt engineering,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Prompt Engineering
azure ai studio,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Azure AI Studio
azure ai foundry,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Azure AI Studio
azure openai studio,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Azure AI Studio
feature engineer,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Feature Engineering
deeplearning4j,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Deeplearning4j
dall-e,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,DALL-E 3
dall-e3,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,DALL-E 3
dall-e image generator,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,DALL-E 3
natural language generation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Natural Language Generation (NLG)
microsoft certified: azure data scientist associate,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Microsoft Certified: Azure Data Scientist Associate
amazon comprehend,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Amazon Comprehend
kubeflow,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Kubeflow
mlops,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,MLOps (Machine Learning Operations)
machine learning operation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,MLOps (Machine Learning Operations)
vector database,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Vector Database
gensim,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Gensim (NLP Software)
watson conversation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Watson Conversation
transfer learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Transfer Learning
unsupervised learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Unsupervised Learning
natural language understanding,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Natural Language Understanding
handwriting recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Handwriting Recognition
pybrain,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Pybrain
chatgpt integration,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,ChatGPT Integration
chatgpt api integration,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,ChatGPT Integration
chatgpt app integration,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,ChatGPT Integration
LDA,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Latent Dirichlet Allocation
latent dirichlet allocation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Latent Dirichlet Allocation
cudnn,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Cudnn
watson studio,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Watson Studio
rdflib,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Rdflib
AI risk,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GeneralAI,Artificial Intelligence Risk
AI risks,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GeneralAI,Artificial Intelligence Risk
artificial intelligence risk,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Artificial Intelligence Risk
aws bedrock,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,AWS Bedrock
bedrock (aws),tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,AWS Bedrock
machine translation,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Neural Machine Translation (NMT)
neural machine translation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Neural Machine Translation (NMT)
MT with neural network,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Neural Machine Translation (NMT)
MT with neural networks,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Neural Machine Translation (NMT)
MT neural network,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Neural Machine Translation (NMT)
MT neural networks,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Neural Machine Translation (NMT)
pymc,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,PyMC
chainer,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Chainer (Deep Learning Framework)
mlpack,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,mlpack (C++ Library)
activity recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Activity Recognition
azure openai,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Azure OpenAI
openai on azure,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Azure OpenAI
opennlp,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Apache OpenNLP
apache opennlp,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Apache OpenNLP
fast.ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Fast.ai
fastai.v2,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Fast.ai
fastai2,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Fast.ai
fastai library,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Fast.ai
amazon polly,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Amazon Polly
spiking neural network,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Spiking Neural Networks
t-sne,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,t-SNE (t-distributed Stochastic Neighbor Embedding)
stochastic neighbor embedding,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,t-SNE (t-distributed Stochastic Neighbor Embedding)
visual odometry,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Visual Odometry
visual-inertial odometry,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Visual Odometry
random forest,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Random Forest Algorithm
openvino,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,OpenVINO
dlib,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,Dlib (C++ Library)
dimensionality reduction,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Nonlinear Dimensionality Reduction
support vector machine,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Support Vector Machines (SVM)
support vector classification,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Support Vector Machines (SVM)
support vector regression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Support Vector Machines (SVM)
n gram,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,N Gram
n-gram,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,N Gram
ngram model,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,N Gram
applications of artificial intelligence,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Applications Of Artificial Intelligence
ai innovation,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,AI Innovation
dialog system,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Dialog Systems
optical flow,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Optical Flow
content-based image retrieval,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Content-Based Image Retrieval
conten based image retrieval,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Content-Based Image Retrieval
image-based retrieval,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Content-Based Image Retrieval
inference engine,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Inference Engine
paddlepaddle,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,PaddlePaddle
agentic ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Agent,Agentic AI
